time,ping,download,upload
15-04-2023-14-14-06,103.72999999999999ms,31.83Mbit/s,13.37Mbit/s
15-04-2023-14-14-31,104.469ms,27.18Mbit/s,8.78Mbit/s
15-04-2023-14-14-58,106.972ms,28.73Mbit/s,13.32Mbit/s
