time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
23-03-2023-11-12-14,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=97.5,ms,packets,"received,",packet,ms
23-03-2023-11-12-34,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=101,ms,packets,"received,",packet,ms
23-03-2023-11-12-54,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=107,ms,packets,"received,",packet,ms
23-03-2023-11-13-15,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.2,ms,packets,"received,",packet,ms
23-03-2023-11-13-35,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=98.8,ms,packets,"received,",packet,ms
23-03-2023-11-13-55,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=106,ms,packets,"received,",packet,ms
23-03-2023-11-14-15,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=91.9,ms,packets,"received,",packet,ms
23-03-2023-11-14-35,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=84.5,ms,packets,"received,",packet,ms
23-03-2023-11-14-55,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=94.6,ms,packets,"received,",packet,ms
23-03-2023-11-15-15,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=86.4,ms,packets,"received,",packet,ms
23-03-2023-11-15-36,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=86.2,ms,packets,"received,",packet,ms
23-03-2023-11-15-46,E
23-03-2023-11-16-06,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.7,ms,packets,"received,",packet,ms
23-03-2023-11-16-26,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.3,ms,packets,"received,",packet,ms
23-03-2023-11-16-46,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=84.1,ms,packets,"received,",packet,ms
23-03-2023-11-17-06,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=82.7,ms,packets,"received,",packet,ms
23-03-2023-11-17-26,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.5,ms,packets,"received,",packet,ms
23-03-2023-11-17-46,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=79.9,ms,packets,"received,",packet,ms
23-03-2023-11-18-06,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=85.1,ms,packets,"received,",packet,ms
23-03-2023-11-18-26,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=79.0,ms,packets,"received,",packet,ms
23-03-2023-11-18-47,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=104,ms,packets,"received,",packet,ms
23-03-2023-11-19-07,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=93.2,ms,packets,"received,",packet,ms
23-03-2023-11-19-27,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=92.5,ms,packets,"received,",packet,ms
23-03-2023-11-19-47,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=77.8,ms,packets,"received,",packet,ms
23-03-2023-11-20-07,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=76.5,ms,packets,"received,",packet,ms
23-03-2023-11-20-27,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=87.6,ms,packets,"received,",packet,ms
23-03-2023-11-20-47,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=86.2,ms,packets,"received,",packet,ms
23-03-2023-11-21-07,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=77.0,ms,packets,"received,",packet,ms
23-03-2023-11-21-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=82.4,ms,packets,"received,",packet,ms
23-03-2023-11-21-48,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=76.3,ms,packets,"received,",packet,ms
23-03-2023-11-22-08,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=83.3,ms,packets,"received,",packet,ms
23-03-2023-11-22-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=87.5,ms,packets,"received,",packet,ms
23-03-2023-11-22-48,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=84.2,ms,packets,"received,",packet,ms
23-03-2023-11-23-08,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=88.6,ms,packets,"received,",packet,ms
23-03-2023-11-23-28,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=91.0,ms,packets,"received,",packet,ms
23-03-2023-11-23-48,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=147,ms,packets,"received,",packet,ms
23-03-2023-11-24-09,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=99.2,ms,packets,"received,",packet,ms
23-03-2023-11-24-29,130.225.57.224,(130.225.57.224),20.0,ttl=45,time=76.0,ms,packets,"received,",packet,ms
