time,host,ip,period,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
15-02-2023-09-49-01,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=33.5,1,1,0%,33.464/33.464/33.464/0.000
15-02-2023-09-49-02,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=28.8,1,1,0%,28.818/28.818/28.818/0.000
15-02-2023-09-49-03,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=34.7,1,1,0%,34.740/34.740/34.740/0.000
15-02-2023-09-49-04,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=22.6,1,1,0%,22.571/22.571/22.571/0.000
15-02-2023-09-49-05,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=35.6,1,1,0%,35.642/35.642/35.642/0.000
15-02-2023-09-49-06,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=28.6,1,1,0%,28.559/28.559/28.559/0.000
15-02-2023-09-49-07,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=27.8,1,1,0%,27.787/27.787/27.787/0.000
15-02-2023-09-49-08,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=24.6,1,1,0%,24.551/24.551/24.551/0.000
15-02-2023-09-49-09,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=39.0,1,1,0%,38.953/38.953/38.953/0.000
15-02-2023-09-49-10,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=37.3,1,1,0%,37.327/37.327/37.327/0.000
15-02-2023-09-49-12,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=38.3,1,1,0%,38.334/38.334/38.334/0.000
15-02-2023-09-49-13,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=25.5,1,1,0%,25.457/25.457/25.457/0.000
15-02-2023-09-49-14,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=27.1,1,1,0%,27.092/27.092/27.092/0.000
15-02-2023-09-49-15,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=35.1,1,1,0%,35.055/35.055/35.055/0.000
15-02-2023-09-49-16,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=41.7,1,1,0%,41.699/41.699/41.699/0.000
15-02-2023-09-49-17,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=32.6,1,1,0%,32.552/32.552/32.552/0.000
15-02-2023-09-49-18,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=34.5,1,1,0%,34.477/34.477/34.477/0.000
15-02-2023-09-49-19,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=28.4,1,1,0%,28.354/28.354/28.354/0.000
15-02-2023-09-49-20,google.com,(142.250.186.142),1,icmp_seq=1,ttl=58,time=28.3,1,1,0%,28.316/28.316/28.316/0.000
