date,host,ip,icmp,ttl,rtt,trans_pack,recv_pack,pack_loss,min/avg/max/mdev
2023-06-21 14:49:31,2023-06-21 14:49:31,2023-06-21 14:49:31,101.783ms,0.87Mbit/s,0.17Mbit/s
2023-06-21 14:50:29,2023-06-21 14:50:29,2023-06-21 14:50:29,101.324ms,0.43Mbit/s,0.33Mbit/s
2023-06-21 14:51:26,2023-06-21 14:51:26,2023-06-21 14:51:26,80.989ms,0.87Mbit/s,0.33Mbit/s
2023-06-21 14:52:12,2023-06-21 14:52:12,2023-06-21 14:52:12,80.70400000000001ms,1.09Mbit/s,0.84Mbit/s
2023-06-21 14:52:56,2023-06-21 14:52:56,2023-06-21 14:52:56,116.108ms,0.08Mbit/s,1.96Mbit/s
2023-06-21 14:53:38,2023-06-21 14:53:38,2023-06-21 14:53:38,79.68900000000001ms,0.00Mbit/s,1.94Mbit/s
2023-06-21 14:54:35,2023-06-21 14:54:35,2023-06-21 14:54:35,105.99799999999999ms,0.44Mbit/s,0.67Mbit/s
2023-06-21 14:55:27,2023-06-21 14:55:27,2023-06-21 14:55:27,103.039ms,1.09Mbit/s,0.67Mbit/s
2023-06-21 14:56:13,2023-06-21 14:56:13,2023-06-21 14:56:13,89.176ms,1.09Mbit/s,0.84Mbit/s
2023-06-21 14:57:12,2023-06-21 14:57:12,2023-06-21 14:57:12,190.603ms,0.87Mbit/s,0.84Mbit/s
2023-06-21 14:57:58,2023-06-21 14:57:58,2023-06-21 14:57:58,198.603ms,0.08Mbit/s,1.94Mbit/s
2023-06-21 14:58:51,2023-06-21 14:58:51,2023-06-21 14:58:51,156.18800000000002ms,0.51Mbit/s,0.84Mbit/s
2023-06-21 14:59:49,2023-06-21 14:59:49,2023-06-21 14:59:49,125.382ms,0.44Mbit/s,0.67Mbit/s
2023-06-21 15:00:47,2023-06-21 15:00:47,2023-06-21 15:00:47,141.376ms,0.87Mbit/s,0.67Mbit/s
2023-06-21 15:01:39,2023-06-21 15:01:39,2023-06-21 15:01:39,111.593ms,1.09Mbit/s,0.17Mbit/s
2023-06-21 15:02:31,2023-06-21 15:02:31,2023-06-21 15:02:31,104.847ms,1.09Mbit/s,0.33Mbit/s
2023-06-21 15:03:28,2023-06-21 15:03:28,2023-06-21 15:03:28,99.918ms,0.87Mbit/s,0.33Mbit/s
2023-06-21 15:04:26,2023-06-21 15:04:26,2023-06-21 15:04:26,114.97800000000001ms,0.84Mbit/s,0.67Mbit/s
2023-06-21 15:05:23,2023-06-21 15:05:23,2023-06-21 15:05:23,113.598ms,0.87Mbit/s,0.67Mbit/s
2023-06-21 15:06:14,2023-06-21 15:06:14,2023-06-21 15:06:14,92.96300000000001ms,1.09Mbit/s,0.50Mbit/s
2023-06-21 15:07:12,2023-06-21 15:07:12,2023-06-21 15:07:12,101.589ms,0.44Mbit/s,0.33Mbit/s
2023-06-21 15:08:08,2023-06-21 15:08:08,2023-06-21 15:08:08,99.651ms,0.87Mbit/s,0.33Mbit/s
2023-06-21 15:09:01,2023-06-21 15:09:01,2023-06-21 15:09:01,103.187ms,1.08Mbit/s,0.67Mbit/s
2023-06-21 15:10:01,2023-06-21 15:10:01,2023-06-21 15:10:01,63.4ms,0.44Mbit/s,0.28Mbit/s
2023-06-21 15:10:51,2023-06-21 15:10:51,2023-06-21 15:10:51,80.762ms,1.09Mbit/s,0.67Mbit/s
2023-06-21 15:11:41,2023-06-21 15:11:41,2023-06-21 15:11:41,65.203ms,1.09Mbit/s,0.67Mbit/s
2023-06-21 15:12:32,2023-06-21 15:12:32,2023-06-21 15:12:32,84.46100000000001ms,1.09Mbit/s,0.67Mbit/s
2023-06-21 15:13:29,2023-06-21 15:13:29,2023-06-21 15:13:29,114.43700000000001ms,0.87Mbit/s,0.67Mbit/s
2023-06-21 15:14:12,2023-06-21 15:14:12,2023-06-21 15:14:12,125.729ms,0.00Mbit/s,1.94Mbit/s
2023-06-21 15:15:05,2023-06-21 15:15:05,2023-06-21 15:15:05,90.73ms,0.75Mbit/s,0.67Mbit/s
2023-06-21 15:15:52,2023-06-21 15:15:52,2023-06-21 15:15:52,76.805ms,0.64Mbit/s,0.84Mbit/s
2023-06-21 15:16:45,2023-06-21 15:16:45,2023-06-21 15:16:45,85.48400000000001ms,1.09Mbit/s,0.50Mbit/s
2023-06-21 15:17:43,2023-06-21 15:17:43,2023-06-21 15:17:43,128.497ms,0.87Mbit/s,0.33Mbit/s
2023-06-21 15:19:18,2023-06-21 15:19:18,2023-06-21 15:19:18,129.031ms,0.87Mbit/s,0.67Mbit/s
2023-06-21 15:20:39,2023-06-21 15:20:39,2023-06-21 15:20:39,78.417ms,0.64Mbit/s,0.67Mbit/s
2023-06-21 15:22:02,2023-06-21 15:22:02,2023-06-21 15:22:02,106.826ms,1.09Mbit/s,0.67Mbit/s
2023-06-21 15:23:29,2023-06-21 15:23:29,2023-06-21 15:23:29,76.086ms,0.44Mbit/s,0.33Mbit/s
2023-06-21 15:24:57,2023-06-21 15:24:57,2023-06-21 15:24:57,137.34900000000002ms,1.09Mbit/s,0.67Mbit/s
2023-06-21 15:26:17,2023-06-21 15:26:17,2023-06-21 15:26:17,66.249ms,1.09Mbit/s,0.67Mbit/s
